Time[ns]
2400
2400
1700
1900
2000
2000
2400
1900
2000
2100
1900
2400
2000
1900
1800
3593500
2300
1800
1900
1800
2000
2100
2200
1900
2000
2500
2300
2000
1900
2500
1800
2600
2200
2000
2400
2000
2100
2000
1900
2000
2000
2400
2800
2500
2500
2600
2100
2700
3900
2200
2100
1900
2300
2100
2000
2000
2600
2500
2600
2000
1700
2300
2500
2300
2400
2500
2400
2700
2100
2900
2000
2300
2200
2100
2500
2300
2100
2100
2900
2200
2300
2300
2700
2300
2300
1800
2920600
1700
2500
2100
2400
2000
2200
2300
1800
2300
2300
2500
2900
2400
