Time[ns]
5199600
4779100
5076400
4873700
5111000
4690900
5125600
4404300
4722700
4982900
5705300
4858800
4816900
4420900
4383700
4884700
5449000
4567400
5050100
4735200
5090700
5211100
4813400
4749000
4910800
4893600
5306100
5469200
5237700
5383300
4759400
5141500
5143200
4588800
5197600
5333000
5271800
5175100
5268400
5519300
5652000
5001500
5128600
4782300
4879400
4768000
4974100
4596000
4742900
4725300
4784500
5268900
5581800
5490700
5177600
5040900
5127600
5335300
4990600
4919100
4907400
5382700
5285300
5086100
4989100
5462400
4729500
4837300
5369500
4625600
4907300
5101600
5030200
5578600
4654800
4571000
5031000
5049900
5323400
5225600
4954600
4546900
4341200
5342800
5701900
5262200
5489200
6049900
6626100
6418900
5039200
5017800
5068700
5712400
5181300
5369800
5170400
5127800
5038600
4569500
