Time[ns]
25997900
26016600
26832200
25197700
26328800
28631100
29047000
28127200
26554600
33589000
30228800
27590100
27929000
28949500
29319300
29522700
26919000
25487800
26728500
26609700
26317400
25644200
25857400
26632800
26628600
26496500
26783400
27516300
26453400
26481700
26672500
26596100
28517200
28648600
28680600
26408600
27984100
28189900
27794200
28215400
25387400
28433000
28687700
25855700
25692800
27650800
26238100
27944800
26720100
28687300
28646200
27456200
27493400
26688200
26298300
26362400
26082600
25812400
25465700
25552600
31541900
29601400
27811500
26682900
27172900
27136300
27230100
28114800
26951700
25196400
29983600
32951400
28364200
28265700
27723700
27608800
35130900
25810800
31242200
28165400
27222700
27493300
27436100
28527000
27240000
26298100
27265100
32795600
28596200
27537600
28711800
27784800
26741200
28797200
26182000
27702500
26509800
29692400
26849400
27840100
