bin_index,count
0,2
1,0
2,0
3,1
4,0
5,0
6,0
7,0
8,0
9,2
10,1
11,0
12,1
13,1
14,1
15,0
16,1
17,1
18,2
19,2
20,1
21,0
22,0
23,2
24,1
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,1
33,0
34,0
35,1
36,0
37,0
38,1
39,0
40,0
41,0
42,0
43,1
44,2
45,2
46,2
47,0
48,1
49,2
50,2
51,0
52,1
53,1
54,0
55,0
56,0
57,1
58,0
59,0
60,1
61,1
62,0
63,1
64,2
65,0
66,1
67,1
68,1
69,0
70,2
71,1
72,0
73,1
74,3
75,0
76,3
77,0
78,0
79,0
80,1
81,0
82,0
83,2
84,0
85,1
86,0
87,0
88,1
89,1
90,0
91,0
92,0
93,1
94,0
95,2
96,0
97,0
98,1
99,1
100,0
101,2
102,1
103,1
104,1
105,2
106,1
107,1
108,0
109,0
110,1
111,0
112,0
113,0
114,1
115,0
116,0
117,0
118,2
119,0
120,1
121,1
122,2
123,2
124,1
125,0
126,1
127,0
128,1
129,1
130,2
131,0
132,0
133,2
134,0
135,1
136,0
137,2
138,1
139,0
140,1
141,0
142,0
143,1
144,2
145,0
146,0
147,2
148,1
149,0
150,0
151,1
152,0
153,3
154,0
155,1
156,0
157,1
158,0
159,2
160,1
161,2
162,1
163,0
164,0
165,0
166,1
167,1
168,0
169,1
170,0
171,3
172,0
173,1
174,0
175,0
176,0
177,0
178,0
179,2
180,1
181,2
182,0
183,2
184,0
185,0
186,2
187,0
188,0
189,1
190,2
191,1
192,1
193,2
194,2
195,3
196,2
197,1
198,1
199,2
200,1
201,0
202,0
203,0
204,0
205,0
206,0
207,1
208,0
209,0
210,0
211,1
212,2
213,2
214,0
215,2
216,0
217,0
218,1
219,0
220,3
221,2
222,0
223,0
224,0
225,0
226,2
227,1
228,1
229,0
230,0
231,0
232,2
233,1
234,1
235,0
236,0
237,1
238,0
239,1
240,1
241,1
242,0
243,0
244,1
245,2
246,0
247,0
248,0
249,1
250,1
251,1
252,1
253,2
254,0
255,0
256,2
257,1
258,1
259,1
260,1
261,1
262,0
263,0
264,1
265,0
266,1
267,3
268,0
269,1
270,1
271,2
272,2
273,0
274,0
275,0
276,2
277,2
278,0
279,2
280,1
281,3
282,1
283,0
284,2
285,1
286,1
287,2
288,0
289,0
290,0
291,1
292,0
293,0
294,4
295,0
296,0
297,1
298,0
299,0
300,0
301,1
302,0
303,1
304,0
305,0
306,0
307,0
308,2
309,0
310,0
311,3
312,2
313,1
314,1
315,1
316,0
317,1
318,1
319,2
320,1
321,1
322,0
323,0
324,0
325,1
326,0
327,1
328,0
329,0
330,1
331,0
332,0
333,0
334,1
335,1
336,1
337,1
338,1
339,0
340,1
341,1
342,4
343,0
344,0
345,1
346,0
347,1
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,1
360,1
361,0
362,2
363,1
364,2
365,1
366,1
367,2
368,1
369,0
370,1
371,1
372,1
373,0
374,2
375,0
376,1
377,1
378,0
379,3
380,0
381,1
382,1
383,1
384,1
385,0
386,0
387,1
388,0
389,1
390,3
391,1
392,2
393,2
394,1
395,0
396,0
397,1
398,1
399,2
400,1
401,0
402,1
403,0
404,1
405,1
406,1
407,1
408,3
409,1
410,1
411,0
412,0
413,0
414,1
415,0
416,1
417,1
418,0
419,1
420,0
421,0
422,1
423,0
424,0
425,1
426,0
427,0
428,0
429,1
430,0
431,1
432,0
433,1
434,1
435,0
436,2
437,1
438,1
439,0
440,1
441,0
442,1
443,1
444,0
445,1
446,0
447,0
448,0
449,2
450,2
451,0
452,0
453,1
454,0
455,0
456,1
457,0
458,1
459,0
460,3
461,0
462,0
463,0
464,1
465,0
466,1
467,0
468,0
469,1
470,0
471,2
472,0
473,1
474,0
475,0
476,1
477,2
478,1
479,0
480,2
481,1
482,0
483,1
484,1
485,1
486,1
487,0
488,0
489,0
490,2
491,2
492,1
493,0
494,2
495,0
496,0
497,1
498,2
499,1
500,4
501,0
502,1
503,1
504,1
505,1
506,0
507,0
508,2
509,1
510,2
511,1
512,0
513,1
514,1
515,2
516,1
517,1
518,0
519,1
520,2
521,1
522,0
523,2
524,2
525,0
526,2
527,2
528,1
529,3
530,0
531,1
532,0
533,1
534,0
535,2
536,1
537,1
538,0
539,2
540,1
541,2
542,0
543,0
544,0
545,0
546,1
547,1
548,1
549,0
550,0
551,3
552,0
553,0
554,1
555,0
556,1
557,1
558,2
559,1
560,2
561,0
562,0
563,0
564,1
565,4
566,2
567,0
568,0
569,2
570,0
571,1
572,1
573,1
574,1
575,1
576,0
577,0
578,1
579,0
580,1
581,2
582,1
583,2
584,1
585,2
586,1
587,2
588,0
589,0
590,1
591,1
592,3
593,1
594,2
595,1
596,1
597,0
598,1
599,1
600,0
601,1
602,2
603,2
604,0
605,0
606,0
607,0
608,2
609,0
610,1
611,0
612,2
613,0
614,1
615,0
616,1
617,0
618,1
619,1
620,1
621,1
622,0
623,1
624,1
625,0
626,0
627,0
628,2
629,1
630,1
631,1
632,0
633,2
634,0
635,2
636,2
637,0
638,1
639,2
640,1
641,1
642,1
643,0
644,1
645,4
646,1
647,0
648,0
649,0
650,1
651,0
652,0
653,0
654,3
655,0
656,1
657,1
658,0
659,0
660,0
661,1
662,2
663,2
664,0
665,0
666,1
667,1
668,2
669,1
670,1
671,0
672,0
673,1
674,1
675,0
676,0
677,2
678,2
679,0
680,1
681,0
682,1
683,0
684,0
685,1
686,0
687,0
688,0
689,1
690,1
691,0
692,1
693,0
694,0
695,0
696,1
697,1
698,0
699,1
700,2
701,2
702,1
703,1
704,1
705,2
706,0
707,0
708,0
709,0
710,2
711,1
712,0
713,0
714,1
715,2
716,2
717,0
718,0
719,2
720,0
721,0
722,0
723,0
724,1
725,0
726,0
727,0
728,1
729,1
730,1
731,1
732,0
733,2
734,2
735,0
736,3
737,0
738,0
739,0
740,0
741,1
742,1
743,1
744,0
745,1
746,0
747,1
748,1
749,1
750,0
751,0
752,1
753,1
754,1
755,3
756,1
757,0
758,2
759,2
760,2
761,2
762,2
763,0
764,1
765,0
766,0
767,0
768,2
769,1
770,1
771,1
772,1
773,0
774,0
775,2
776,1
777,2
778,0
779,1
780,0
781,2
782,2
783,1
784,1
785,0
786,1
787,1
788,0
789,0
790,1
791,0
792,1
793,1
794,4
795,0
796,0
797,1
798,0
799,1
800,0
801,0
802,2
803,2
804,0
805,0
806,0
807,0
808,1
809,1
810,0
811,1
812,1
813,0
814,0
815,1
816,1
817,3
818,0
819,0
820,0
821,1
822,1
823,0
824,1
825,0
826,2
827,1
828,0
829,0
830,3
831,1
832,1
833,0
834,0
835,2
836,0
837,1
838,0
839,3
840,0
841,2
842,0
843,0
844,1
845,0
846,1
847,0
848,0
849,0
850,2
851,0
852,0
853,1
854,0
855,2
856,0
857,0
858,0
859,1
860,1
861,0
862,1
863,2
864,0
865,0
866,2
867,0
868,2
869,1
870,0
871,2
872,0
873,1
874,1
875,1
876,1
877,1
878,0
879,0
880,0
881,0
882,1
883,1
884,0
885,0
886,1
887,0
888,1
889,1
890,0
891,0
892,1
893,1
894,0
895,1
896,1
897,0
898,1
899,1
900,0
901,1
902,2
903,1
904,0
905,0
906,2
907,0
908,1
909,0
910,0
911,3
912,0
913,1
914,0
915,1
916,2
917,2
918,0
919,2
920,1
921,0
922,1
923,3
924,2
925,0
926,1
927,1
928,1
929,0
930,0
931,0
932,1
933,1
934,0
935,0
936,1
937,1
938,0
939,0
940,0
941,1
942,1
943,0
944,1
945,1
946,2
947,0
948,0
949,1
950,1
951,1
952,2
953,0
954,0
955,0
956,1
957,2
958,0
959,0
960,1
961,1
962,1
963,0
964,1
965,2
966,1
967,0
968,3
969,0
970,0
971,0
972,1
973,0
974,3
975,1
976,1
977,1
978,2
979,1
980,2
981,0
982,3
983,0
984,2
985,2
986,2
987,1
988,0
989,0
990,1
991,0
992,3
993,0
994,1
995,3
996,0
997,2
998,0
999,1
1000,1
1001,1
1002,0
1003,1
1004,0
1005,2
1006,0
1007,2
1008,0
1009,1
1010,0
1011,0
1012,0
1013,0
1014,1
1015,0
1016,1
1017,0
1018,0
1019,2
1020,0
1021,0
1022,1
1023,0
1024,0
1025,0
1026,0
1027,3
1028,1
1029,2
1030,1
1031,0
1032,2
1033,2
1034,1
1035,0
1036,1
1037,2
1038,0
1039,3
1040,4
1041,2
1042,0
1043,0
1044,1
1045,0
1046,2
1047,2
1048,1
1049,0
1050,2
1051,2
1052,0
1053,1
1054,2
1055,1
1056,3
1057,1
1058,0
1059,2
1060,0
1061,1
1062,0
1063,1
1064,1
1065,1
1066,1
1067,2
1068,0
1069,0
1070,0
1071,3
1072,0
1073,1
1074,1
1075,1
1076,0
1077,1
1078,1
1079,0
1080,0
1081,2
1082,1
1083,1
1084,1
1085,0
1086,0
1087,0
1088,2
1089,0
1090,2
1091,0
1092,0
1093,0
1094,2
1095,0
1096,2
1097,2
1098,5
1099,0
1100,1
1101,1
1102,0
1103,0
1104,1
1105,1
1106,0
1107,4
1108,1
1109,2
1110,2
1111,2
1112,1
1113,2
1114,0
1115,0
1116,2
1117,0
1118,0
1119,0
1120,0
1121,0
1122,1
1123,2
1124,3
1125,0
1126,2
1127,1
1128,1
1129,0
1130,2
1131,0
1132,0
1133,1
1134,1
1135,1
1136,1
1137,1
1138,0
1139,1
1140,0
1141,1
1142,3
1143,0
1144,1
1145,1
1146,1
1147,0
1148,2
1149,0
1150,0
1151,1
1152,2
1153,0
1154,2
1155,3
1156,1
1157,0
